"genes"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"SLC43A2"	-0.00939209986130439	7.8675541563786	-0.234277488136186	0.814965456151334	0.987523915898146	-6.16919265233254
"RP11.95H3.1"	-0.00939553051317642	4.46505353909465	-0.185636462025703	0.852883638965114	0.991277299881475	-6.17902747443774
"ECH1"	-0.00940508252427229	8.60608201646091	-0.246172047356978	0.805755417373762	0.987523915898146	-6.16644111460069
"CA7"	-0.00943131276005575	5.97425399176955	-0.310316746282795	0.756584228692114	0.983074555287909	-6.14925576767987
"LINC00381"	-0.00944076005547909	4.587680781893	-0.260169514572311	0.794951797234498	0.986659101781163	-6.16302870969541
"TSPAN10"	-0.00944255547850196	6.10725275720165	-0.290160322124826	0.771939321270172	0.984784208673836	-6.15508255603563
"TTC33"	-0.00945835367545039	7.00426181069959	-0.18351425237083	0.854546504292856	0.991530925511808	-6.17940471211333
"PDE6B"	-0.00945870110957038	6.21240860082305	-0.284719432003889	0.776099907110435	0.984784208673836	-6.15658840134037
"GABRD"	-0.00945884188626885	6.50273716049383	-0.32465207171518	0.745721773280688	0.982012060332574	-6.1448738954861
"MESDC1"	-0.00947775242718457	7.93729781893004	-0.328563862945811	0.742766358072034	0.981833509859819	-6.14364384927171
"LOC100130193"	-0.00948850554785032	5.44733366255144	-0.184202383107095	0.85400724528047	0.991466951898145	-6.17928286709289
"ACOT12"	-0.00949790360610268	5.01897164609054	-0.202075448982089	0.840025634902707	0.990393314069804	-6.17595844788099
"LOC644727"	-0.00950181830790602	7.04772366255144	-0.199844973381113	0.841767799395726	0.990393314069804	-6.17639011497716
"FGD5P1"	-0.00950396809986203	6.58558028806584	-0.333885079519197	0.738752225539572	0.981831376934882	-6.141946986495
"SMAD4"	-0.00951171428571449	8.44652	-0.191273527987535	0.848469907250409	0.990796934147468	-6.17800439079536
"SNRNP200"	-0.00951679264909902	9.21138493827161	-0.198855842121981	0.842540633290467	0.990393314069804	-6.17658001002434
"LOC441179"	-0.00951864285714273	5.46554600823045	-0.24259051698397	0.808525832626846	0.987523915898146	-6.16728394900468
"GTSCR1"	-0.00952057628294059	3.30336139917695	-0.235371830988181	0.814117002525371	0.987523915898146	-6.16894518877823
"CHST4"	-0.00952143689320386	5.03387983539095	-0.245403736386489	0.806349522338261	0.987523915898146	-6.16662295983713
"FER1L4"	-0.0095423772538136	6.1747321399177	-0.360905533532794	0.718481435365941	0.980800212273404	-6.13291029663799
"C8orf58"	-0.00954903120665748	7.45576888888889	-0.37936288781707	0.704747397170425	0.979352551283986	-6.12633384661691
"FRMD7"	-0.00957767753120718	4.43894131687243	-0.343631687792172	0.731418356158334	0.981575012483345	-6.1387683008089
"APOOP5"	-0.00958140083217764	5.40277839506173	-0.310593215788499	0.756374270383319	0.983074555287909	-6.14917312890696
"AKAP14"	-0.0095879986130374	3.70907847736626	-0.325160750269861	0.745337245152959	0.982012060332574	-6.14471477622682
"EFCAB12"	-0.00958899861303752	5.56393790123457	-0.29626573082753	0.767278435017966	0.984725154457649	-6.15335888178371
"HTR3E"	-0.0095988467406383	5.08914300411523	-0.2833145255033	0.777175279186487	0.984784208673836	-6.15697260255637
"PRRC1"	-0.00960305409154035	7.96627271604938	-0.228394599836228	0.819530229661551	0.9876048538567	-6.17050319460551
"PRRC2B"	-0.00961795631067925	8.91259024691358	-0.21406641569059	0.830673528896433	0.989800946707206	-6.17355573672092
"ANKRD34A"	-0.00961812760055484	5.9580153909465	-0.281651520685345	0.778448765360088	0.984784208673836	-6.1574249315994
"CHTOP"	-0.00963504438280207	7.50109127572016	-0.359452068232089	0.719566918644285	0.980800212273404	-6.13341426032173
"RP11.10N16.2"	-0.00965453190013952	6.16039189300411	-0.261873789737963	0.793639044582779	0.986654361991774	-6.16260035216907
"PAM16"	-0.0096581442441049	9.44949320987654	-0.213378939358641	0.831209073678771	0.989871322224009	-6.173697231357
"H2BFWT"	-0.00966367059639463	5.10984390946502	-0.225486175181874	0.821789280572291	0.987968752406963	-6.17113880423588
"ELL3"	-0.00966586615811354	5.56455041152263	-0.288171890029347	0.773459094445974	0.984784208673836	-6.15563618615682
"SAMD1"	-0.00967947364771133	7.67013946502058	-0.233905982591278	0.815253537366446	0.987523915898146	-6.16927639873428
"ELOVL2.AS1"	-0.00968588904299605	5.61498382716049	-0.324528694437849	0.745815048140516	0.982012060332574	-6.14491245151065
"TNNC1"	-0.00969136130374449	5.836229218107	-0.23510532859594	0.814323604002595	0.987523915898146	-6.16900555909313
"PCCB"	-0.00969486546463275	7.94727991769547	-0.22833313675061	0.819577954165592	0.9876048538567	-6.17051671101736
"ZBED3"	-0.00971271775312057	7.57927312757202	-0.328372212648136	0.742911064233878	0.981833509859819	-6.14370445579296
"OR2G6"	-0.00971275173370317	4.29094864197531	-0.191228942921544	0.848504798082015	0.990796934147468	-6.17801260266578
"B3GNT3"	-0.00971323925103989	6.47926020576132	-0.336323034223406	0.736915503721113	0.981831376934882	-6.14116045896573
"LOC340113"	-0.00971663938973651	4.66843300411523	-0.253277646808706	0.800266321928389	0.986832545024729	-6.16473242466019
"LINC00837"	-0.00972012066574203	5.4379287654321	-0.384820401772858	0.700704725188372	0.979352551283986	-6.12432656280221
"THAP1"	-0.00972690568654698	6.82210106995885	-0.243899086514934	0.807513334973782	0.987523915898146	-6.16697743728996
"SLC22A9"	-0.00973618723994472	4.59763300411523	-0.216362974556119	0.828885082088223	0.989674805396749	-6.173079766328
"C3orf72"	-0.00974197226074887	5.73196588477366	-0.348287059087419	0.727924052637351	0.981194537933578	-6.13721779149331
